country,start_year,start_spending_B,end_year,end_spending_B,change_B,change_pct,note
China,1989,19.91,2025,335.02,315.11,+1582.7%,"No data in 1988, using earliest available year (1989) vs 2025"
France,1988,56.68,2025,64.52,7.84,+13.8%,1988 vs 2025
Germany,1988,67.19,2025,106.73,39.54,+58.8%,1988 vs 2025
India,1988,21.06,2025,93.25,72.19,+342.8%,1988 vs 2025
Italy,1988,33.22,2025,45.44,12.22,+36.8%,1988 vs 2025
Japan,1988,30.47,2025,59.49,29.02,+95.2%,1988 vs 2025
Russia,1992,47.46,2025,158.24,110.78,+233.4%,Russia: from independence to 2025
Saudi Arabia,1988,26.8,2025,81.47,54.67,+204.0%,1988 vs 2025
USSR,1988,282.92,1990,221.93,-60.99,-21.6%,USSR: compared within dissolution period
United Kingdom,1988,74.43,2025,87.98,13.55,+18.2%,1988 vs 2025
United States,1988,821.4,2025,929.16,107.76,+13.1%,1988 vs 2025
